22561), CD, I
supplemented, VBN, I
with, IN, I
20%, CD, I
FBS, NNP, I
(PAA, NNP, I
Laboratories), NNP, I
GlutaMAX, NNP, I
penicillin, NN, I
(100U/mL), NN, I
and, CC, I
streptomycin, NN, I
(100, NNP, I
mg/mL), NN, I
(all, NN, I
from, IN, I
Life, NNP, I
Technologies), NNP, I
at, IN, I
37C, CD, I
and, CC, I
5%, CD, I
CO2., NN, IAbout, IN, I
85%, CD, I
of, IN, I
the, DT, I
cell, NN, I
population, NN, I
in, IN, I
this, DT, I
bone, NN, I
tissue, NN, I
are, VBP, I
osteocytes, NNS, I
and, CC, I
the, DT, I
remainder, NN, I
are, VBP, I
osteoblasts, VBZ, I
bone, NN, N
marrow, NN, N
etc., NN, IA, DT, I
core, NN, I
set, NN, I
of, IN, I
differentially, RB, I
methylated, VBN, I
regions, NNS, I
in, IN, I
APL, NNP, I
was, VBD, I
identified., JJ, IA, DT, I
detailed, JJ, I
characterization, NN, I
of, IN, I
the, DT, I
mRNA-, NN, I
and, CC, I
microRNA, NN, I
transcriptomes, NNS, I
during, IN, I
adipocyte, JJ, I
differentiation, NN, I
also, RB, I
showed, VBD, I
that, IN, I
the, DT, I
iMSC#3, NN, I
recapitulates, VBZ, I
this, DT, I
process, NN, I
at, IN, I
the, DT, I
molecular, JJ, I
level., NN, IAfter, IN, I
informed, VBN, I
consent, NN, I
bone, NN, N
marrow, NN, N
specimens, VBZ, I
packed, VBN, I
with, IN, I
leukemic, JJ, I
blasts, NNS, I
were, VBD, I
obtained, VBN, I
in, IN, I
each, DT, I
patient., NN, IAge, NNP, I
at, IN, I
diagnosis, NN, I
Sanz, NNP, I
score, NN, I
and, CC, I
Flt3-mutation, NN, I
status, NN, I
characterized, VBN, I
methylation, NN, I
subtypes., NN, IAPL, NNP, I
patients, NNS, I
showed, VBD, I
increased, JJ, I
genome-wide, JJ, I
DNA, NNP, I
methylation, NN, I
with, IN, I
higher, JJR, I
variability, NN, I
than, IN, I
healthy, JJ, I
CD34+, NNP, I
cells, NNS, I
promyelocytes, NNS, I
and, CC, I
remission, NN, I
bone, NN, N
marrow, NN, N
., ., IA, DT, I
total, NN, I
of, IN, I
231, CD, I
pediatric, JJ, I
patients, NNS, I
with, IN, I
B-ALL, NNP, I
were, VBD, I
utilized, VBN, I
from, IN, I
the, DT, I
California, NNP, I
Childhood, NNP, I
Cancer, NNP, I
Study., NNP, IATRA, NNP, I
treatment, NN, I
of, IN, I
APL, NNP, I
blasts, NNS, I
did, VBD, I
also, RB, I
not, RB, I
result, VB, I
in, IN, I
DNA, NNP, I
methylation, NN, I
changes., NN, IBisulphite, NNP, I
converted, VBD, I
DNA, NNP, I
from, IN, I
all, DT, I
samples, NNS, I
were, VBD, I
hybridised, VBN, I
to, TO, I
the, DT, I
Illumina, NNP, I
Infinium, NNP, I
450, CD, I
Human, NNP, I
Methylation, NNP, I
arrays, NNS, I
and, CC, I
for, IN, I
each, DT, I
analysis, NN, I
the, DT, I
drug, NN, I
treated, VBD, I
sample, NN, I
was, VBD, I
compared, VBN, I
to, TO, I
the, DT, I
corresponding, JJ, I
PBS, NNP, I
control, NN, I
sample., NN, Ibone, NN, N
marrow, NN, N
biopsy, NN, I
AraC, NNP, Ibone, NN, N
marrow, NN, N
biopsy, NN, I
DAC, NNP, Ibone, NN, N
marrow, NN, N
biopsy, NN, I
mock, NN, Ibone, NN, N
marrow, NN, N
cells, NNS, I
collected, VBN, I
from, IN, I
healthy, JJ, I
donors, NNS, I
were, VBD, I
sorted, VBN, I
and, CC, I
DNA, NNP, I
extracted, VBD, I
at, IN, I
