2, CD, I
samples, NNS, I
were, VBD, I
removed, VBN, I
due, JJ, I
to, TO, I
failed, JJ, I
quality, NN, I
control, NN, I
and, CC, I
BMIQ, NNP, I
normalization, NN, I
was, VBD, I
done, VBN, I
with, IN, I
11, CD, I
preterm, NNS, I
and, CC, I
11, CD, I
term, NN, I
samples., NN, IA, DT, I
DNA, NNP, I
quality, NN, I
check, NN, I
was, VBD, I
performed, VBN, I
with, IN, I
Quant-iT, NNP, I
PicoGreen, NNP, I
dsDNA, NN, I
reagent., NN, IAfter, IN, I
seven, CD, I
days, NNS, I
CD34+, NNP, I
and, CC, I
CD34-, NNP, I
fractions, NNS, I
were, VBD, I
again, RB, I
separated, VBN, I
as, IN, I
described, VBN, I
above., NN, IAll, DT, I
mothers, NNS, I
were, VBD, I
healthy, JJ, I
with, IN, I
no, DT, I
cardiovascular, JJ, I
risk, NN, I
factors, NNS, I
except, IN, I
for, IN, I
the, DT, I
associated, JJ, I
risks, NNS, I
among, IN, I
those, DT, I
mothers, NNS, I
who, WP, I
smoked., VBP, IA, DT, I
weighed, JJ, I
amount, NN, I
of, IN, I
pulverized, JJ, I
umbilical, JJ, N
cord, NN, N
tissue, NN, I
was, VBD, I
lysed, VBN, I
and, CC, I
homogenised, VBN, I
via, IN, I
Hyaluronidase, NNP, I
solution, NN, I
treatment, NN, I
addition, NN, I
of, IN, I
TNES, NNP, I
lysis, NN, I
buffer, NN, I
and, CC, I
Proteinase, NNP, I
K., NNP, IA, DT, I
weighed, JJ, I
amount, NN, I
of, IN, I
pulverized, JJ, I
umbilical, JJ, N
cord, NN, N
tissue, NN, I
was, VBD, I
lysed, VBN, I
and, CC, I
homogenised, VBN, I
via, IN, I
Hyaluronidase, NNP, I
solution, NN, I
treatment, NN, I
additionof, NN, I
TNES, NNP, I
lysis, NN, I
buffer, NN, I
and, CC, I
Proteinase, NNP, I
K., NNP, ICD34+, NNP, I
cells, NNS, I
were, VBD, I
isolated, VBN, I
from, IN, I
fresh, JJ, I
umbilical, JJ, N
cord, NN, N
blood, NN, I
after, IN, I
written, VBN, I
consent, NN, I
according, VBG, I
to, TO, I
the, DT, I
guidelines, NNS, I
specifically, RB, I
approved, VBN, I
by, IN, I
the, DT, I
Ethic, NNP, I
Committee, NNP, I
of, IN, I
RWTH, NNP, I
Aachen, NNP, I
University, NNP, I
(Permit, NNP, I
Number:, NNP, I
EK187/08), NNP, I
using, VBG, I
the, DT, I
CD34, NNP, I
Micro, NNP, I
Bead, NNP, I
Kit, NNP, I
on, IN, I
a, DT, I
MiniMACS, NNP, I
system, NN, I
(Miltenyi, NNP, I
Biotec, NNP, I
GmbH, NNP, I
Bergisch-Gladbach, NNP, I
Germany)., NNP, ICells, NNP, I
able, JJ, I
to, TO, I
form, VB, I
bone, NN, I
through, IN, I
endochondral, JJ, I
ossification, NN, I
and, CC, I
attract, VB, I
bone, NN, I
marrow, NN, I
in, IN, I
an, DT, I
innovative, JJ, I
in, IN, I
vivo, JJ, I
model, NN, I
were, VBD, I
compared, VBN, I
to, TO, I
cells, NNS, I
lacking, VBG, I
these, DT, I
capacities., NNS, ICells, NNS, I
were, VBD, I
cultured, VBN, I
in, IN, I
StemSpan, NNP, I
serum, VBP, I
